session_id,title,guidance,question,word_target
5,Love & Partnership,"Welcome to Session 5: Love & Partnership—this is where we explore intimacy, connection, and the evolution of relationships. Love stories are full of nuance: joy, conflict, growth, compromise. We're looking for honest scenes and reflections rather than idealised summaries.",How did you meet your partner(s)?,600
5,Love & Partnership,,What drew you to them?,600
5,Love & Partnership,,Can you share a memorable story from your relationship?,600
5,Love & Partnership,,What have you learned about love?,600
5,Love & Partnership,,How did you navigate tough times together?,600
5,Love & Partnership,,What advice would you give about relationships?,600
6,Life’s Highs & Lows,"Welcome to Session 6: Life’s Highs & Lows—this is where we look at the peaks and valleys that define a life. We're interested in moments of pure joy and profound difficulty, and how both shaped your perspective and resilience.",What has been your happiest moment?,600
6,Life’s Highs & Lows,,Have you faced any major challenges or losses?,600
6,Life’s Highs & Lows,,How did you get through difficult times?,600
6,Life’s Highs & Lows,,What are you most grateful for?,600
6,Life’s Highs & Lows,,Is there a moment you’d relive if you could?,600
7,Home & Community,"Welcome to Session 7: Home & Community—this is where we explore place, belonging, and the environments that held (or challenged) you. Home is both literal and emotional; communities give us identity and purpose.",Where have you lived over the years?,600
7,Home & Community,,What does ‘home’ mean to you?,600
7,Home & Community,,Are there any communities that have been important to you?,600
7,Home & Community,,How have your surroundings shaped your life?,600
7,Home & Community,,What makes a place feel like home?,600
8,Passions & Interests,"Welcome to Session 8: Passions & Interests—this is where we celebrate what lit you up outside of obligation. Hobbies, curiosities, and creative outlets often reveal our truest selves.",What hobbies or interests have brought you joy?,600
8,Passions & Interests,,How have you spent your free time?,600
8,Passions & Interests,,Have you had any unusual or unexpected passions?,600
8,Passions & Interests,,Is there something you wish you’d tried?,600
8,Passions & Interests,,What advice would you give about following your passions?,600
9,Values & Beliefs,"Welcome to Session 9: Values & Beliefs—this is where we examine the principles that anchored (or sometimes shifted under) your life. We're interested in how beliefs were formed, tested, and lived.",What values have guided your life?,600
9,Values & Beliefs,,Have your beliefs changed over time?,600
9,Values & Beliefs,,Are there any causes or principles you feel strongly about?,600
9,Values & Beliefs,,How do you hope to be remembered?,600
9,Values & Beliefs,,What does ‘a good life’ mean to you?,600
10,Wisdom & Lessons,"Welcome to Session 10: Wisdom & Lessons—this is where you distill what time has taught you. Hard-won insights, simple truths, and advice for those coming after often emerge here.",What’s the best advice you’ve ever received?,600
10,Wisdom & Lessons,,What lessons have you learned the hard way?,600
10,Wisdom & Lessons,,Are there any sayings or philosophies you live by?,600
10,Wisdom & Lessons,,What would you tell the next generation?,600
10,Wisdom & Lessons,,What is the most important thing you’ve learned?,600
11,Health & Wellbeing,Welcome to Session 11: Health & Wellbeing—this is where we explore how you cared for body and mind across the years. Health is both physical and emotional; resilience often grows from how we face limits.,How have you looked after your health?,600
11,Health & Wellbeing,,Were there any health challenges you’ve faced?,600
11,Health & Wellbeing,,What role has wellbeing played in your life?,600
11,Health & Wellbeing,,How do you maintain balance and resilience?,600
11,Health & Wellbeing,,What advice would you give about health?,600
12,Legacy & Hopes,Welcome to Session 12: Legacy & Hopes—this is where we look forward and backward at once: what you leave behind and what you still wish for others.,What do you hope your legacy will be?,600
12,Legacy & Hopes,,Are there any messages you’d like to pass on?,600
12,Legacy & Hopes,,What are your hopes for your family or community?,600
12,Legacy & Hopes,,"If you could be remembered for one thing, what would it be?",600
12,Legacy & Hopes,,Any last words or reflections?,600
13,Reflections & Then vs. Now,"Welcome to Session 13: Reflections & Then vs. Now—this closing session invites perspective on change, continuity, and the long view. How does the arc of your life look from here?",How have you changed over the years?,600
13,Reflections & Then vs. Now,,What would your younger self think of you now?,600
13,Reflections & Then vs. Now,,Are there things you see differently with age?,600
13,Reflections & Then vs. Now,,What’s most important to you now?,600
13,Reflections & Then vs. Now,,What are your hopes for the future?,600
