"session_id","title","guidance","question","word_target"
"1","Childhood","Welcome to Session 1: Childhood—this is where we lay the foundation of your story. Professional biographies thrive on specific, sensory-rich memories. I'm looking for the kind of details that transport readers: not just what happened, but how it felt, smelled, sounded. The 'insignificant' moments often reveal the most. Take your time—we're mining for gold here.","What is your earliest memory?","800"
"1","Childhood","","Can you describe your family home growing up?","800"
"1","Childhood","","Who were the most influential people in your early years?","800"
"1","Childhood","","What was school like for you?","800"
"1","Childhood","","Were there any favourite games or hobbies?","800"
"1","Childhood","","Is there a moment from childhood that shaped who you are?","800"
"1","Childhood","","If you could give your younger self some advice, what would it be?","800"
"2","Family & Relationships","Welcome to Session 2: Family & Relationships—this is where we explore the people who shaped you. Family stories are complex ecosystems. We're not seeking perfect narratives, but authentic ones. The richest material often lives in the tensions, the unsaid things, the small rituals. My job is to help you articulate what usually goes unspoken. Think in scenes rather than summaries.","How would you describe your relationship with your parents?","700"
"2","Family & Relationships","","Are there any family traditions you remember fondly?","700"
"2","Family & Relationships","","What was your relationship like with siblings or close relatives?","700"
"2","Family & Relationships","","Can you share a story about a family celebration or challenge?","700"
"2","Family & Relationships","","How did your family shape your values?","700"
"3","Education & Growing Up","Welcome to Session 3: Education & Growing Up—this is where we explore how you learned to navigate the world. Education isn't just about schools—it's about how you learned to navigate the world. We're interested in the hidden curriculum: what you learned about yourself, about systems, about survival and growth. Think beyond grades to transformation.","What were your favourite subjects at school?","600"
"3","Education & Growing Up","","Did you have any memorable teachers or mentors?","600"
"3","Education & Growing Up","","How did you feel about exams and studying?","600"
"3","Education & Growing Up","","Were there any big turning points in your education?","600"
"3","Education & Growing Up","","Did you pursue further education or training?","600"
"3","Education & Growing Up","","What advice would you give about learning?","600"
"4","Work & Career","Welcome to Session 4: Work & Career—this is where we uncover your professional journey and the meaning you've found in work. Careers are rarely linear; we're interested in the choices, the surprises, the satisfactions and struggles. Share the human side: what lit you up, what tested you, what you learned about yourself through labour.","What was your first job?","600"
"4","Work & Career","","How did you choose your career path?","600"
"4","Work & Career","","What did you enjoy most about your work?","600"
"4","Work & Career","","Were there any challenges or setbacks?","600"
"4","Work & Career","","Who inspired you in your working life?","600"
"4","Work & Career","","What’s your proudest career achievement?","600"
"4","Work & Career","","How did your work shape your life?","600"
"5","Love & Partnership","Welcome to Session 5: Love & Partnership—this is where we explore intimacy, connection, and the evolution of relationships. Love stories are full of nuance: joy, conflict, growth, compromise. We're looking for honest scenes and reflections rather than idealised summaries.","How did you meet your partner(s)?","600"
"5","Love & Partnership","","What drew you to them?","600"
"5","Love & Partnership","","Can you share a memorable story from your relationship?","600"
"5","Love & Partnership","","What have you learned about love?","600"
"5","Love & Partnership","","How did you navigate tough times together?","600"
"5","Love & Partnership","","What advice would you give about relationships?","600"
"6","Life’s Highs & Lows","Welcome to Session 6: Life’s Highs & Lows—this is where we look at the peaks and valleys that define a life. We're interested in moments of pure joy and profound difficulty, and how both shaped your perspective and resilience.","What has been your happiest moment?","600"
"6","Life’s Highs & Lows","","Have you faced any major challenges or losses?","600"
"6","Life’s Highs & Lows","","How did you get through difficult times?","600"
"6","Life’s Highs & Lows","","What are you most grateful for?","600"
"6","Life’s Highs & Lows","","Is there a moment you’d relive if you could?","600"
"7","Home & Community","Welcome to Session 7: Home & Community—this is where we explore place, belonging, and the environments that held (or challenged) you. Home is both literal and emotional; communities give us identity and purpose.","Where have you lived over the years?","600"
"7","Home & Community","","What does ‘home’ mean to you?","600"
"7","Home & Community","","Are there any communities that have been important to you?","600"
"7","Home & Community","","How have your surroundings shaped your life?","600"
"7","Home & Community","","What makes a place feel like home?","600"
"8","Passions & Interests","Welcome to Session 8: Passions & Interests—this is where we celebrate what lit you up outside of obligation. Hobbies, curiosities, and creative outlets often reveal our truest selves.","What hobbies or interests have brought you joy?","600"
"8","Passions & Interests","","How have you spent your free time?","600"
"8","Passions & Interests","","Have you had any unusual or unexpected passions?","600"
"8","Passions & Interests","","Is there something you wish you’d tried?","600"
"8","Passions & Interests","","What advice would you give about following your passions?","600"
"9","Values & Beliefs","Welcome to Session 9: Values & Beliefs—this is where we examine the principles that anchored (or sometimes shifted under) your life. We're interested in how beliefs were formed, tested, and lived.","What values have guided your life?","600"
"9","Values & Beliefs","","Have your beliefs changed over time?","600"
"9","Values & Beliefs","","Are there any causes or principles you feel strongly about?","600"
"9","Values & Beliefs","","How do you hope to be remembered?","600"
"9","Values & Beliefs","","What does ‘a good life’ mean to you?","600"
"10","Wisdom & Lessons","Welcome to Session 10: Wisdom & Lessons—this is where you distill what time has taught you. Hard-won insights, simple truths, and advice for those coming after often emerge here.","What’s the best advice you’ve ever received?","600"
"10","Wisdom & Lessons","","What lessons have you learned the hard way?","600"
"10","Wisdom & Lessons","","Are there any sayings or philosophies you live by?","600"
"10","Wisdom & Lessons","","What would you tell the next generation?","600"
"10","Wisdom & Lessons","","What is the most important thing you’ve learned?","600"
"11","Health & Wellbeing","Welcome to Session 11: Health & Wellbeing—this is where we explore how you cared for body and mind across the years. Health is both physical and emotional; resilience often grows from how we face limits.","How have you looked after your health?","600"
"11","Health & Wellbeing","","Were there any health challenges you’ve faced?","600"
"11","Health & Wellbeing","","What role has wellbeing played in your life?","600"
"11","Health & Wellbeing","","How do you maintain balance and resilience?","600"
"11","Health & Wellbeing","","What advice would you give about health?","600"
"12","Legacy & Hopes","Welcome to Session 12: Legacy & Hopes—this is where we look forward and backward at once: what you leave behind and what you still wish for others.","What do you hope your legacy will be?","600"
"12","Legacy & Hopes","","Are there any messages you’d like to pass on?","600"
"12","Legacy & Hopes","","What are your hopes for your family or community?","600"
"12","Legacy & Hopes","","If you could be remembered for one thing, what would it be?","600"
"12","Legacy & Hopes","","Any last words or reflections?","600"
"13","Reflections & Then vs. Now","Welcome to Session 13: Reflections & Then vs. Now—this closing session invites perspective on change, continuity, and the long view. How does the arc of your life look from here?","How have you changed over the years?","600"
"13","Reflections & Then vs. Now","","What would your younger self think of you now?","600"
"13","Reflections & Then vs. Now","","Are there things you see differently with age?","600"
"13","Reflections & Then vs. Now","","What’s most important to you now?","600"
"13","Reflections & Then vs. Now","","What are your hopes for the future?","600"
